# Tint = a*masses + b
# da/dM = 25918.3 K/Gyr/Msun
# masses [Msun]  db/dM [K/Msun]
0.015000  5.150859
0.016000  5.150859
0.017000  4.826369
0.018000  3.777572
0.019000  3.317085
0.020000  3.394401
0.021000  3.618423
0.022000  2.950213
0.023000  2.357504
0.024000  2.316910
0.025000  2.097937
0.026000  1.490169
0.027000  0.654366
0.028000  0.516632
0.029000  0.401012
0.030000  -0.127605
0.031000  -0.297456
0.032000  -0.073325
0.033000  -0.213261
0.034000  -0.399339
0.035000  -0.435212
0.036000  -0.076426
0.037000  1.056373
0.038000  1.701411
0.039000  1.008452
0.040000  -0.144593
0.041000  -0.676629
0.042000  -0.877692
0.043000  -1.304049
0.044000  -1.456201
0.045000  -0.849184
0.046000  -0.457457
0.047000  -0.634945
0.048000  -1.019583
0.049000  -1.381255
0.050000  -1.390309
0.051000  -1.390309
