# r [kpc]   v [km/s]    sigmav
0.001   0.24071574624   0.053590711393
0.005   1.2422862165   0.27657103091
0.01   2.4669794669   0.54922532773
0.05   11.958772675   2.6623897483
0.1   23.034569088   5.1282018867
0.2   42.751131116   9.5177135899
0.3   59.5867881   13.265847431
0.4   73.933526767   16.459871683
0.5   86.09636335   19.167692319
0.6   96.403346665   21.462343071
0.7   105.07724902   23.39341989
0.75   108.86231896   24.236092603
1   123.31012   27.452616441
1.5   136.61086546   30.413770508
2   138.409186   30.814131841
2.5   134.88939759   30.030518938
3   129.16882946   28.756944938
3.5   122.82528955   27.344678306
4   116.29244266   25.890266128
4.5   109.02873368   24.273141626
5   102.35121829   22.786521802
5.5   96.762030912   21.54219719
6   92.066134836   20.496746632
6.5   88.038622353   19.60009877
7   84.528007505   18.818528183
7.5   81.42810483   18.128394728
8   78.660084378   17.51214844
8.5   76.167613472   16.957247936
