#r [kpc]   v [km/s]   sigmav   vthin   vthick
0.001   0.091066072666   0.004792951193   0.056148225743   0.071696627095
0.005   0.45364207687   0.023875898782   0.27977482204   0.35709548142
0.01   0.90469238756   0.047615388819   0.55771431541   0.71233633805
0.05   4.4273720762   0.23301958296   2.7197020988   3.4935431863
0.1   8.6386021771   0.45466327248   5.2839067036   6.8341625326
0.2   16.526999701   0.86984208953   10.037241046   13.129947117
0.3   23.821635109   1.2537702689   14.38493154   18.987997363
0.4   30.618557086   1.6115030045   18.402866201   24.47101456
0.5   36.982977199   1.9464724841   22.140948219   29.62294743
0.6   42.964136262   2.2612703296   25.63553694   34.478054622
0.7   48.602386035   2.5580203176   28.915936667   39.064824778
0.75   51.300540197   2.7000284314   30.481048197   41.263193349
1   63.734459397   3.3544452314   37.660591951   51.41751772
1.5   84.182640119   4.4306652694   49.368893721   68.186723269
2   100.04441913   5.2654957436   58.356208147   81.261545452
2.5   112.40622079   5.9161168838   65.334414909   91.468971249
3   121.95893936   6.4188915454   70.672474509   99.395091615
3.5   129.24276756   6.8022509242   74.688232554   105.47682629
4   134.71405788   7.0902135724   77.6798856   110.06231309
4.5   138.75683954   7.3029915548   79.851426363   113.47779619
5   141.88020653   7.4673792909   81.453868459   116.16910225
5.5   143.85584001   7.5713600005   82.44152961   117.88934176
6   144.45499513   7.6028944803   82.704813336   118.43630975
6.5   144.28727398   7.5940670514   82.564472099   118.32973159
7   143.59387813   7.5575725332   82.177045083   117.75455447
7.5   142.41898085   7.4957358343   81.461936848   116.82088406
8   140.9151685   7.4165878157   80.572638867   115.60767526
8.5   139.16418016   7.3244305349   79.552626335   114.18427512
